Min1,Max1,Mean1,Median1,Std1,1st1,3rd1,Min2,Max2,Mean2,Median2,Std2,1st2,3rd2,Min3,Max3,Mean3,Median3,Std3,1st3,3rd3,Min4,Max4,Mean4,Median4,Std4,1st4,3rd4,Min5,Max5,Mean5,Median5,Std5,1st5,3rd5,Min6,Max6,Mean6,Median6,Std6,1st6,3rd6
36.25,48.0,43.96912499999999,44.5,1.618363585278194,43.31,44.67,0.0,1.5,0.41312500000000085,0.47,0.2631109551862858,0.43,0.5,1.5,26.33,15.868020833333334,16.25,3.7424202086823684,14.25,18.0,0.0,5.17,0.6663541666666685,0.47,0.7889846012606584,0.0,0.94,11.33,30.75,22.10375,21.67,3.318301138020592,20.5,23.75,0.0,2.96,0.5553125000000018,0.49,0.48782623177856416,0.0,0.83
37.0,48.0,43.45495833333334,43.25,1.3860978398519737,42.5,45.0,0.0,1.58,0.37808333333333416,0.47,0.31556635194105126,0.0,0.5,5.75,27.0,15.793333333333333,15.0,3.8476376361687574,13.0,18.27,0.0,10.03,0.8493541666666686,0.5,0.9957614765321261,0.43,1.12,8.0,33.5,23.034791666666667,23.5,2.4888622796595348,22.25,24.0,0.0,5.26,0.6796458333333354,0.5,0.6225337810449345,0.43,0.87
33.0,47.75,42.17981250000002,43.5,3.670665660998427,39.150000000000006,45.0,0.0,3.0,0.6960416666666683,0.5,0.630860298658193,0.0,1.12,8.5,30.0,22.183625,23.0,3.81046934147179,20.5,24.3725,0.0,5.15,0.9899166666666691,0.83,0.9537303933435255,0.43,1.3,20.0,38.67,33.493916666666664,35.0,3.8494478189457717,30.4575,36.33,0.0,2.18,0.6135208333333356,0.5,0.5243171317817953,0.0,1.0
33.0,45.75,41.6780625,41.75,2.2434900014223933,41.33,42.75,0.0,2.83,0.5359791666666676,0.5,0.40546872227401004,0.43,0.71,3.0,28.25,19.006562499999998,19.125,4.087106879865339,16.5,22.0625,0.0,6.42,0.8418750000000013,0.5,0.9288007313404859,0.43,1.12,23.67,37.5,29.857083333333332,30.0,2.4110263914491896,28.4575,31.25,0.0,1.79,0.38329166666666775,0.43,0.38916429696825316,0.0,0.5
18.33,47.67,34.33304166666667,34.75,4.948769856038023,31.25,38.0,0.0,12.48,4.396958333333325,3.9,2.568679977144409,2.49,5.745,7.67,23.33,15.562895833333332,15.5,2.9677409200715883,13.67,17.5,0.0,9.01,3.198312499999997,2.9299999999999997,1.6762705480191968,2.05,4.245,6.67,24.0,15.864437500000001,16.0,3.000492669401746,13.75,18.0,0.0,8.01,3.261583333333332,2.98,1.6172896711183782,2.05,4.32
21.5,51.0,34.935812500000004,35.5,4.6459444867043596,32.0,38.0625,0.0,12.21,4.115749999999996,3.8449999999999998,2.3352426212727377,2.35,5.625,6.5,23.33,15.524520833333332,15.5,2.900248239966241,13.33,17.67,0.0,9.09,3.0927916666666633,2.87,1.5034457702438166,2.0575,3.84,6.33,25.0,15.997229166666665,16.25,3.19205780277653,14.2375,18.25,0.0,10.21,3.280020833333331,3.0149999999999997,1.7009176571462197,2.12,4.5
18.0,46.0,35.19333333333332,36.0,4.751867947550034,32.0,38.75,0.0,16.2,4.321020833333333,3.88,2.6255161138080427,2.4800000000000004,5.87,5.67,24.5,15.462229166666669,15.67,3.1142221119923126,13.33,17.5,0.0,8.76,3.0728541666666658,2.86,1.5087137229064196,1.9124999999999999,4.09,6.25,23.5,16.101208333333336,16.33,3.207642198601944,14.25,18.5,0.0,8.5,3.2419583333333315,3.0149999999999997,1.7691824652470165,1.885,4.44
20.75,46.25,34.76333333333333,35.29,4.74220808365667,31.67,38.25,0.0,12.68,4.223791666666666,3.9,2.2780044279205445,2.49,5.7225,5.0,23.75,15.239020833333335,15.33,2.9208286065846374,13.5,17.25,0.0,9.2,3.2070624999999984,3.0,1.5904718632064376,2.05,4.195,6.0,25.5,16.2995625,16.25,3.1746807602150713,14.25,18.33,0.0,9.39,3.2882708333333333,3.27,1.6475277010299703,2.05,4.305
18.33,45.75,34.599875,35.125,4.7317896600826534,31.5,38.0,0.0,15.37,4.398833333333333,4.025,2.5385209091914573,2.55,5.7675,5.5,24.0,15.173666666666668,15.0,3.036746262631229,13.0,17.3725,0.0,9.18,3.1454999999999993,3.0149999999999997,1.5913463004691033,2.0374999999999996,4.157500000000001,6.5,23.25,16.0555625,16.0,2.905687766232461,14.0,18.25,0.0,8.86,3.2895416666666626,3.0149999999999997,1.680169553009909,2.12,4.26
15.5,43.67,34.225874999999995,34.75,4.441797589923912,31.25,37.25,0.0,17.24,4.354499999999998,3.9,2.518990618670896,2.49,5.765,7.67,23.0,15.606479166666665,15.5,2.81227370689409,13.75,17.5,0.0,9.2,3.365375,3.03,1.730792433484713,2.12,4.44,5.75,24.0,16.148000000000003,16.25,2.992920135830092,14.33,18.25,0.0,9.42,3.4795416666666648,3.27,1.7611462503638058,2.24,4.5375
25.0,47.5,31.058249999999997,29.71,4.829794432361753,27.5,31.8125,0.0,6.38,0.4054583333333343,0.43,0.5666679136463396,0.0,0.5,2.0,28.33,15.296666666666665,15.0,4.841974887092799,13.0,17.75,0.0,5.32,0.8235416666666676,0.5,0.9022479224139838,0.0,1.12,0.0,40.33,14.4071875,13.0,7.853426748722305,9.0,18.3125,0.0,4.92,1.0981041666666689,0.94,0.8314802741671968,0.5,1.3
27.5,33.0,29.881937500000003,30.0,1.1538374732456758,29.0,30.27,0.0,1.0,0.25643750000000043,0.0,0.2758331774929298,0.0,0.47,0.0,14.5,8.166249999999998,8.75,3.403612795637969,5.5,11.25,0.0,4.44,0.5446458333333344,0.47,0.6443691219534587,0.0,0.71,11.0,23.25,18.117895833333332,18.0,1.745970352975397,17.0,19.0,0.0,6.4,0.701625,0.71,0.4811028833237033,0.47,0.94
19.0,45.5,30.93810416666667,29.0,7.684145836290816,26.75,38.0,0.0,6.4,0.4671666666666672,0.43,0.7344444546214146,0.0,0.5,0.0,32.75,14.589833333333333,15.75,7.638935151155752,9.6875,20.69,0.0,11.42,0.777541666666668,0.47,1.0141019239937068,0.0,1.12,1.67,36.0,18.38908333333333,17.5,5.845911226863868,15.0,20.8125,0.0,6.73,1.1073541666666684,0.83,1.0808418390239565,0.47,1.3
35.5,48.0,46.224937499999996,46.0,1.7483150242620928,45.25,48.0,0.0,4.5,0.31235416666666704,0.0,0.4645410777597997,0.0,0.5,0.0,21.0,15.031687499999999,15.585,4.313437888240632,11.75,18.5,0.0,5.12,0.5985000000000014,0.47,0.6792328350859325,0.0,0.83,2.5,21.0,13.394020833333334,13.5,2.931580526558781,12.0,15.25,0.0,6.0,0.8825833333333348,0.83,0.6684234976152706,0.47,1.12
34.5,47.75,44.47114583333334,45.0,1.772553369694926,45.0,45.25,0.0,2.18,0.2904791666666669,0.0,0.39291424901716704,0.0,0.5,5.0,21.33,17.948541666666664,18.5,2.5137962455263287,18.0,19.33,0.0,5.54,0.5662500000000019,0.43,0.7009811942238748,0.0,0.71,1.0,19.67,13.210083333333333,13.0,2.6123897811819674,12.0,14.8125,0.0,4.32,0.9273750000000016,0.83,0.7564358417422024,0.47,1.22
30.0,46.67,42.648520833333336,42.75,2.3953380477130586,41.5,45.0,0.0,2.95,0.40283333333333415,0.43,0.41371867910682253,0.0,0.5,3.0,21.25,18.129291666666667,18.5,2.8504219953361583,18.0,19.75,0.0,7.5,0.4679791666666678,0.43,0.6872129726010735,0.0,0.5,1.0,20.75,12.060416666666667,12.29,3.1416794428525505,10.6275,14.25,0.0,4.64,0.9173541666666678,0.83,0.7096377090191418,0.47,1.12
36.0,47.5,43.72002083333333,45.0,2.384104590166105,43.0,45.0,0.0,1.92,0.36670833333333397,0.43,0.37411663294383635,0.0,0.5,6.67,21.0,17.010270833333337,17.75,2.712218570025307,15.5,18.75,0.0,6.02,0.5443333333333347,0.43,0.743740176569456,0.0,0.71,1.0,20.25,13.198270833333336,13.75,3.289138342023333,11.31,15.5425,0.0,6.18,1.0396875000000017,0.83,0.9166573262160925,0.47,1.22
29.75,48.0,46.93220833333336,47.5,1.8326652501011522,47.2375,47.75,0.0,4.6,0.4296666666666676,0.5,0.3672670229001663,0.43,0.5,6.5,21.0,16.847854166666664,18.0,2.6175134775986426,16.33,18.25,0.0,6.52,0.5354375000000019,0.43,0.7133231181061205,0.0,0.71,2.67,21.25,13.281875000000001,13.67,3.1348217053314396,11.67,15.5,0.0,6.58,0.9911250000000008,0.83,0.8553291037857189,0.47,1.22
36.33,47.67,45.399625,45.5,1.3281210395986627,45.0,46.33,0.0,1.66,0.46014583333333386,0.5,0.26988859447423585,0.43,0.5,1.5,21.25,17.67139583333333,18.0,1.7458011451468247,17.4575,18.33,0.0,4.11,0.44131250000000133,0.43,0.4781660186465671,0.0,0.5,1.0,19.75,12.428541666666664,13.125,3.374095155644823,11.25,14.5,0.0,4.5,0.795104166666668,0.82,0.503006814581037,0.47,1.0
27.5,50.75,38.888374999999996,36.75,3.6429012195511334,36.25,42.0,0.0,6.06,0.3834375000000005,0.43,0.48893738498963224,0.0,0.5,1.5,23.25,14.854166666666666,15.0,3.926922296093297,12.0,18.0,0.0,6.02,0.6542708333333354,0.47,0.7082970031413471,0.0,0.87,0.0,23.75,16.522020833333332,17.75,4.97853000828622,14.0,20.75,0.0,5.17,0.8402083333333347,0.82,0.7506361660569144,0.43,1.09
27.0,38.67,32.90597916666666,30.25,3.5057757115733073,30.0,37.0,0.0,2.49,0.4567500000000006,0.0,0.5387833855404663,0.0,1.0,2.5,23.75,16.305916666666665,18.5,5.164882745207937,12.0,21.0,0.0,5.12,0.6647916666666684,0.47,0.7681137310952126,0.0,0.87,2.0,23.5,18.087229166666667,19.25,3.736306722195168,16.5,20.75,0.0,5.12,0.7913541666666682,0.71,0.7557388230515628,0.43,1.0
42.5,46.0,44.753958333333344,45.0,0.5203088033753298,44.75,45.0,0.0,1.12,0.15391666666666676,0.0,0.2588154994772511,0.0,0.43,3.67,27.25,18.579604166666666,19.25,4.128090143816291,17.0,21.0,0.0,5.17,0.6253125000000018,0.47,0.6756578069387218,0.43,0.83,4.33,30.75,19.265083333333333,19.0,4.127514529769534,17.5,21.69,0.0,4.3,0.7640833333333347,0.7,0.6520908985823358,0.43,1.0
25.5,45.75,36.5600625,36.5,5.915081410791782,30.0,42.5,0.0,12.19,0.4221666666666675,0.0,0.7729921079070423,0.0,0.82,1.0,24.0,14.894833333333334,15.33,5.459764803079049,11.0,20.27,0.0,5.12,0.7405208333333354,0.495,0.8328558030710442,0.0,0.94,5.5,27.0,17.149729166666667,18.0,2.8635995949999087,15.5,19.0,0.0,6.26,0.854833333333335,0.83,0.7176026934236693,0.43,1.145
42.0,45.0,42.821983298538626,42.5,0.8918180104355456,42.0,43.5,0.0,1.12,0.3356784968684767,0.43,0.26035682984371905,0.0,0.5,0.0,23.0,17.19970772442589,18.0,3.898005862641981,16.0,20.0,0.0,5.45,0.5311899791231749,0.43,0.7639262457991036,0.0,0.71,1.0,23.0,16.025657620041752,17.0,4.112285493852429,13.25,19.0,0.0,6.36,0.8560125260960343,0.82,0.7648005235660815,0.43,1.09
41.75,46.5,43.19085416666667,42.5,1.2303450555530067,42.0,44.5,0.0,1.5,0.2662708333333335,0.43,0.2715878646954358,0.0,0.5,0.0,21.67,14.8583125,15.0,4.727836222945086,12.25,18.424999999999997,0.0,4.64,0.5102083333333345,0.47,0.5426971595913612,0.0,0.72,5.67,22.0,16.043166666666668,16.0,3.027168967114781,14.0,18.33,0.0,5.45,0.8062291666666684,0.82,0.6454761068974632,0.43,1.09
39.0,40.0,39.433791666666686,39.5,0.20855752307566022,39.33,39.5,0.0,1.0,0.4221041666666674,0.47,0.16037908375010534,0.43,0.5,0.0,12.2,5.841145833333331,6.0,3.4978582978443953,3.0,8.75,0.0,3.27,0.3990208333333342,0.43,0.4386667021289795,0.0,0.5,0.0,18.0,10.897458333333335,11.5,3.3216216765210613,9.0,12.33,0.0,4.06,0.5827083333333345,0.5,0.43844163006998704,0.43,0.83
0.0,40.67,39.506187499999996,39.5,1.81749840875149,39.5,39.67,0.0,1.0,0.49647916666666647,0.5,0.1455459077270438,0.47,0.5,0.0,13.25,6.550083333333335,7.0,2.6070814102116424,4.5,8.75,0.0,4.03,0.8238541666666684,0.5,0.7601938685150689,0.43,1.12,0.0,16.25,11.765624999999998,12.0,2.336680287316966,11.33,13.0,0.0,3.19,0.622916666666668,0.5,0.4988887791060089,0.43,0.87
34.0,51.0,42.7060625,40.5,3.5374762060546647,40.25,48.0,0.0,4.85,0.519812500000001,0.5,0.48408595642157676,0.0,0.83,0.0,23.0,10.909958333333334,12.0,3.2084105935622538,9.0,12.0,0.0,5.72,0.33206250000000054,0.0,0.5996948739199327,0.0,0.47,0.0,22.25,4.3039791666666645,2.25,4.253807455695276,1.0,8.0,0.0,4.97,0.5493125000000003,0.47,0.6484026834667878,0.0,0.83
39.0,41.0,39.66783333333331,39.5,0.28015782409603934,39.5,39.75,0.0,1.0,0.5836041666666673,0.5,0.19458464297354228,0.5,0.71,0.0,15.0,10.834208333333333,12.0,2.4695076124497195,10.25,12.0,0.0,2.49,0.3474375000000007,0.43,0.40914480830743444,0.0,0.5,0.0,14.5,5.779479166666667,5.75,4.097351446021736,1.6275,9.33,0.0,3.49,0.6359375000000005,0.5,0.608399416459128,0.0,0.83
39.0,40.0,39.34710416666667,39.33,0.23140523246243888,39.25,39.5,0.0,0.5,0.3663958333333341,0.47,0.19581458141761338,0.43,0.5,0.0,11.33,4.382208333333332,4.5,2.456798950637854,2.5,6.0,0.0,3.54,0.5029166666666677,0.47,0.5046723583506716,0.0,0.71,7.0,18.67,16.212312500000003,16.75,2.223355216758035,15.75,17.67,0.0,3.5,0.5884583333333343,0.5,0.4234347553014702,0.43,0.83
39.0,56.25,47.32512499999999,42.67,5.961280283196093,42.0,54.0,0.0,8.49,0.2743125000000004,0.0,0.5627289107405945,0.0,0.47,0.0,18.25,9.5319375,10.75,3.987097588185423,6.0,12.75,0.0,5.72,0.7857291666666679,0.5,0.8116360764841972,0.43,1.0,0.0,21.0,14.299125,14.0,4.142132425235064,11.75,18.0,0.0,5.72,0.7661666666666685,0.5,0.7239530582982194,0.43,1.0
26.75,44.75,36.863375,36.33,3.555786994948472,34.5,39.75,0.0,11.68,2.757312499999998,2.23,2.115957678186599,1.22,4.0225,7.0,27.0,16.494750000000003,16.0,3.588182520383051,14.0,19.0,0.0,9.01,3.013604166666663,2.86,1.7745307032238307,1.56,4.0675,8.0,23.0,16.581145833333334,16.75,2.6559055675416396,15.0,18.67,0.0,8.81,2.7733124999999985,2.59,1.5699188396538877,1.64,3.6325
25.33,45.0,37.1143125,36.25,3.71038461818647,34.5,40.25,0.0,10.84,2.7299999999999986,2.24,1.9243659042946304,1.3,3.7175000000000002,3.0,27.25,16.66391666666667,16.67,3.612220685553591,14.25,18.8125,0.0,10.57,3.138541666666664,2.87,1.8476803598695677,1.79,4.11,6.75,23.33,16.48754166666667,16.67,2.8478760716270393,14.75,18.5,0.0,9.5,3.076354166666665,2.77,1.8245342127542556,1.7,4.0375
19.0,44.0,36.228395833333316,36.0,3.5286168802021756,34.0,39.0,0.0,12.28,2.831687499999997,2.285,1.8866893014203339,1.5,3.8449999999999998,5.5,25.25,15.424500000000002,15.25,3.2498343237039022,13.33,17.5,0.0,9.5,3.1191249999999986,2.94,1.6835132221966842,1.79,4.2175,2.5,24.5,15.872374999999998,16.0,3.1666545153229846,14.0,18.0625,0.0,9.98,3.4806874999999957,3.34,1.827769025304975,2.1025,4.55
26.5,44.33,36.68729166666666,36.0,3.5294041555847047,34.25,39.3725,0.0,12.89,2.9730416666666644,2.36,2.0739025365327275,1.41,4.262499999999999,8.33,28.25,18.39679166666667,18.0,3.771097883467691,15.67,20.75,0.0,9.63,2.976604166666667,2.685,1.861730156314391,1.48,4.09,3.0,24.67,16.48,16.75,2.9782376989138597,14.67,18.5,0.0,8.19,3.0733124999999952,2.69,1.6296748610265177,1.9124999999999999,4.0875
26.25,44.25,36.95745833333332,36.29,3.4348626794462622,34.5,40.25,0.0,8.64,2.4200833333333316,2.05,1.724901374849458,1.25,3.35,7.0,26.5,15.313416666666667,15.25,3.034030094638235,13.25,17.33,0.0,8.06,2.7841458333333318,2.565,1.542971572340688,1.58,3.77,2.0,22.25,15.989166666666666,16.33,2.8516731588927975,14.0,18.25,0.0,8.34,2.934625,2.525,1.6313801248302064,1.66,4.03
27.75,44.67,37.144833333333324,36.33,3.7589039141812752,34.0,40.5,0.0,10.76,2.4190625,1.88,1.6431745829561357,1.25,3.3675,0.0,24.75,14.998479166666668,15.0,3.2895371522410652,13.0,17.25,0.0,9.0,2.849624999999999,2.5,1.7151848732044337,1.58,3.9,0.0,23.0,16.773520833333336,17.0,2.6892905793209434,15.0,18.75,0.0,8.75,2.8224374999999995,2.59,1.6371826761493382,1.58,3.74
